slope_angle,soil_moisture,rainfall,rockfall_history,temperature,rockfall
59.1,81.7,74.4,1,24.0,1
44.4,45.8,22.8,0,35.0,0
40.6,30.1,40.9,1,30.7,1
55.5,82.9,91.3,0,19.2,1
23.6,64.1,30.2,0,24.9,0
47.3,60.2,39.5,0,37.6,0
49.8,64.8,9.9,0,41.8,1
43.8,39.8,111.4,0,30.3,1
30.9,55.4,29.4,0,21.0,0
40.6,72.1,92.5,0,30.7,1
57.8,26.8,25.2,0,28.1,0
29.6,92.3,58.4,0,20.0,1
47.9,76.4,19.3,0,11.4,1
25.9,72.2,88.6,0,16.4,0
32.5,34.9,43.9,1,14.9,1
37.2,39.0,85.0,0,12.9,0
29.4,57.5,28.7,0,21.7,0
31.3,19.1,88.7,1,33.1,0
55.3,54.8,42.4,1,26.0,1
37.6,73.6,80.8,0,29.4,1
45.2,66.2,16.0,0,28.7,0
38.4,78.0,19.5,0,20.2,1
44.8,63.2,85.1,0,15.4,1
12.1,43.7,46.2,0,23.8,1
38.9,63.3,114.0,0,1.1,1
61.0,26.9,162.9,1,14.0,1
68.1,50.1,42.5,0,16.8,1
24.5,50.9,157.5,1,20.3,1
39.0,42.1,12.2,1,20.0,0
34.0,65.9,79.0,1,24.2,1
34.2,12.7,27.0,1,24.4,0
19.4,58.0,38.2,1,13.4,1
39.8,95.7,26.5,0,19.8,1
33.2,37.3,27.9,0,34.2,0
35.8,57.4,100.0,0,24.6,0
45.4,41.8,3.9,0,18.0,0
20.6,55.1,82.9,1,20.7,1
33.9,52.1,11.8,1,18.4,1
11.3,75.7,108.4,0,12.7,0
27.6,83.6,44.6,0,18.4,1
26.2,86.9,105.3,1,35.6,1
5.0,33.9,6.2,0,27.3,0
28.0,65.8,16.5,1,20.7,0
51.8,48.6,7.1,0,21.5,0
29.1,93.4,34.8,0,16.5,1
32.2,54.5,16.4,0,19.6,1
21.5,66.9,35.6,0,11.1,1
30.4,20.6,117.8,0,13.8,0
43.9,21.4,28.8,1,28.9,1
31.8,88.3,58.6,0,33.6,0
41.0,79.6,63.9,0,25.9,1
15.8,60.4,32.5,1,20.9,1
28.4,75.3,6.9,1,22.8,1
38.9,95.5,12.1,0,17.9,1
55.4,46.9,47.9,1,19.9,1
25.5,82.6,76.1,0,10.1,1
71.1,43.9,102.7,1,18.8,1
47.1,87.4,5.8,1,31.9,1
16.0,68.1,44.2,0,15.0,0
22.2,83.4,42.4,0,21.5,1
27.7,2.2,65.7,0,23.3,0
42.4,85.4,124.6,0,23.7,1
29.6,89.9,38.7,1,39.1,1
50.8,94.0,158.2,0,29.7,1
13.4,41.1,51.0,1,19.4,0
5.0,30.1,15.2,1,32.4,0
34.3,87.6,17.3,0,19.9,0
47.0,76.3,96.0,0,14.2,1
26.6,74.7,150.6,0,28.1,1
45.9,48.3,44.4,0,16.8,1
37.0,66.5,128.9,0,27.1,1
24.9,43.4,31.3,1,26.0,0
21.4,21.7,83.5,1,24.6,1
11.9,41.8,167.1,0,31.7,1
42.0,45.8,57.0,0,20.4,1
32.6,75.8,85.3,1,11.9,1
35.3,69.2,51.1,0,35.4,1
23.3,65.6,91.8,0,15.5,1
29.3,97.4,63.3,0,21.9,0
26.3,40.0,116.0,0,11.6,1
26.6,37.9,34.1,0,14.4,1
25.1,31.4,50.7,0,9.4,0
40.3,63.8,46.6,0,7.1,1
40.5,23.7,220.0,1,31.2,1
37.0,41.8,110.8,0,26.2,1
5.0,42.9,89.3,1,23.4,0
23.3,54.6,82.7,1,24.9,1
35.8,70.3,62.2,1,0.8,1
41.3,72.7,79.5,0,20.1,1
51.7,89.4,145.4,0,18.3,1
58.0,76.6,67.4,0,23.1,1
63.6,89.6,61.1,1,24.3,1
39.9,65.3,90.3,0,24.6,1
30.6,23.0,65.6,1,7.0,0
36.0,38.4,57.4,0,15.7,1
39.6,67.3,62.0,0,32.8,0
56.0,41.7,14.2,0,20.4,0
43.2,42.4,53.9,1,23.2,1
24.9,78.4,105.7,1,30.7,1
44.3,57.0,46.0,1,19.1,1
34.0,91.0,25.3,0,15.6,1
60.3,39.5,52.7,0,27.4,1
51.5,52.8,84.5,1,25.3,1
35.2,46.9,162.8,0,9.4,1
35.8,82.2,49.0,1,22.7,1
30.5,42.8,104.7,0,22.3,1
27.3,55.7,152.6,0,19.2,1
28.3,70.9,3.7,1,34.1,0
41.3,40.9,81.7,0,22.3,0
17.1,42.7,41.4,0,3.9,0
14.5,53.6,13.1,1,29.4,0
7.8,57.2,47.6,0,19.2,0
47.1,40.9,114.5,0,26.3,1
36.3,72.3,19.8,1,34.3,1
46.0,84.1,35.6,0,20.3,0
10.7,69.5,25.9,0,16.7,0
52.3,68.1,28.7,0,17.4,1
30.5,52.5,107.2,0,12.4,1
32.3,33.6,28.8,1,23.1,0
18.4,69.9,24.4,0,33.6,0
37.3,41.2,17.6,0,22.0,1
47.1,32.9,23.2,0,6.7,1
30.1,70.2,18.3,0,11.3,1
42.6,84.5,94.5,1,24.5,1
19.8,98.0,74.9,0,40.6,1
14.8,84.5,79.2,0,24.4,0
28.4,16.1,89.9,0,21.5,0
31.7,96.5,20.8,0,28.7,0
43.5,44.3,67.9,1,31.6,1
37.2,53.7,159.4,0,29.7,1
35.6,52.3,45.2,0,29.3,1
47.9,44.8,47.4,1,19.2,1
40.2,56.5,74.3,0,27.7,1
55.2,42.7,54.6,1,18.2,1
43.8,80.0,11.7,1,6.1,1
55.7,83.3,59.6,0,10.5,1
35.1,90.4,54.8,1,31.0,1
28.3,41.8,145.6,1,19.9,1
56.6,16.5,59.0,1,12.4,1
40.2,53.3,22.4,0,18.0,1
45.6,78.5,94.4,0,9.0,1
57.3,77.7,68.2,0,40.9,1
25.1,85.1,34.1,0,18.9,1
60.3,46.9,26.3,0,20.1,1
53.3,29.4,3.4,1,12.5,1
13.0,82.1,40.0,0,37.4,0
24.9,90.7,33.2,0,24.4,0
42.5,81.6,60.3,0,29.1,1
54.7,74.9,43.4,1,30.9,1
34.2,42.9,134.2,0,9.9,1
42.4,75.9,158.3,1,6.9,1
33.7,57.8,17.3,0,28.7,0
16.9,42.9,60.7,0,19.1,0
27.5,23.4,18.0,1,15.3,1
45.0,76.4,95.2,0,10.7,1
45.5,52.6,35.5,1,2.7,1
45.5,41.4,14.8,0,8.9,0
45.9,54.1,68.5,1,19.6,1
33.7,39.3,53.7,0,33.6,0
17.0,78.9,28.6,0,18.2,0
47.1,43.3,45.8,0,26.7,0
27.4,68.4,51.3,0,26.5,0
34.1,83.4,43.4,0,29.8,1
39.7,89.1,58.6,1,6.2,0
49.7,9.2,174.5,1,24.1,1
42.6,92.7,65.7,1,18.6,1
32.9,27.8,193.5,0,22.5,1
35.1,89.1,54.9,0,15.8,1
42.8,58.4,87.1,0,24.8,1
30.8,63.7,41.8,0,20.6,0
23.0,64.7,57.6,0,27.1,1
20.3,88.8,63.1,1,16.7,0
35.7,38.7,125.7,0,23.9,1
34.4,38.1,132.3,0,24.6,1
22.4,56.6,25.2,0,28.3,0
12.5,3.3,63.1,0,23.0,1
25.2,90.6,26.1,0,16.9,0
36.5,44.6,93.0,0,31.2,0
18.8,63.5,18.4,0,24.1,0
21.4,39.0,47.2,0,21.6,0
19.5,79.6,6.0,0,27.6,0
14.0,82.3,175.2,0,19.7,1
45.0,53.8,69.2,0,24.0,1
48.4,41.0,93.3,1,20.1,1
39.4,43.1,100.3,0,21.5,1
22.2,57.2,117.6,0,21.0,1
57.4,74.3,29.5,0,24.5,1
5.0,48.5,29.1,0,34.5,0
36.0,52.4,14.2,1,21.6,1
32.0,59.0,55.8,0,19.2,1
20.5,79.7,22.5,0,24.5,1
10.8,92.8,69.4,0,28.7,1
42.2,65.7,21.2,0,20.2,1
35.7,41.8,42.9,0,31.4,1
31.7,80.0,57.1,1,22.4,1
43.5,44.7,123.0,0,17.9,0
43.1,38.8,25.8,0,-3.7,0
14.6,58.2,37.4,0,30.1,1
36.6,48.7,108.3,0,33.9,1
57.8,38.8,11.4,1,20.2,1
34.1,93.8,55.8,0,21.1,1
22.6,57.3,58.3,1,20.7,0
34.5,78.0,39.0,0,13.5,1
29.6,67.7,47.9,0,14.8,1
30.0,82.9,45.8,0,29.6,0
25.0,82.3,171.0,0,29.4,1
10.0,68.6,52.0,0,35.0,1
38.4,50.0,15.3,1,18.6,0
18.9,93.7,12.4,0,26.3,1
14.8,37.9,56.9,0,10.4,0
30.3,33.1,91.6,1,22.0,1
41.6,74.3,109.9,0,22.1,1
35.6,45.5,93.5,1,16.0,1
15.5,77.0,98.7,0,19.3,0
25.0,25.1,47.3,0,14.1,0
55.1,32.0,78.9,0,17.8,1
60.2,54.0,45.9,0,14.5,1
26.8,46.1,39.1,0,7.9,0
26.9,59.8,51.8,1,32.8,0
10.0,83.0,40.2,0,35.3,0
30.0,62.5,22.3,0,15.9,1
5.1,84.6,189.1,0,18.6,0
31.6,54.9,44.7,1,30.4,0
26.7,94.7,54.9,0,11.6,1
44.4,49.8,31.0,0,21.6,1
17.8,34.3,21.5,0,17.7,1
49.2,57.1,46.2,0,18.7,1
26.8,71.7,79.0,0,30.0,1
32.1,73.9,92.6,0,21.6,1
37.0,38.2,67.3,0,33.0,0
48.1,66.5,35.7,0,19.5,1
36.1,38.6,34.3,0,24.9,0
30.5,61.8,36.8,0,23.6,1
64.8,64.4,17.4,0,16.7,1
24.4,87.7,18.8,1,21.1,1
16.0,53.9,67.3,0,40.4,0
32.9,20.6,18.5,0,24.0,0
47.6,71.7,82.5,0,36.2,1
7.7,15.5,111.7,0,21.0,0
65.1,71.0,35.5,0,13.4,1
32.7,79.5,9.5,1,20.3,1
24.7,66.9,101.0,0,24.1,1
13.6,50.1,150.7,1,12.3,0
41.2,57.7,47.3,1,28.2,1
34.3,91.4,50.8,0,28.3,1
51.4,76.0,40.2,0,20.4,0
53.3,15.4,56.1,1,22.2,1
49.7,88.6,62.4,0,17.4,1
39.6,66.1,19.3,0,25.3,1
48.6,62.1,40.8,0,27.4,1
29.7,42.0,83.1,0,17.8,0
47.5,85.0,78.4,0,21.9,1
19.9,88.9,45.7,0,22.2,0
40.9,67.8,29.1,0,14.0,1
23.9,12.8,48.3,0,18.1,1
33.7,61.5,25.0,0,14.5,0
32.0,17.7,26.1,1,33.7,0
13.9,11.9,27.0,1,38.3,0
36.0,39.1,12.1,0,22.6,1
30.7,51.2,20.9,0,23.1,0
53.5,38.0,39.4,0,19.3,0
54.6,37.1,131.3,0,23.3,1
5.1,38.7,83.3,1,25.4,0
28.8,79.7,40.3,0,29.0,1
63.0,72.7,93.2,1,26.7,1
21.8,52.6,25.4,0,32.3,0
27.0,22.8,64.3,0,16.1,0
42.2,91.8,99.8,0,14.6,1
24.8,36.8,34.6,0,12.1,0
42.2,98.0,70.0,0,26.0,1
41.2,83.3,67.3,0,7.2,1
26.6,59.4,68.0,0,32.0,0
53.6,65.2,128.6,0,29.3,1
33.7,63.2,23.7,0,31.9,0
20.4,91.1,19.4,1,17.2,0
5.0,82.1,27.8,0,17.3,0
52.1,31.8,61.6,0,15.7,0
5.0,86.0,107.1,1,13.4,0
47.2,65.6,60.9,1,27.6,1
30.1,57.2,40.1,1,23.1,0
44.4,54.7,30.7,0,22.6,1
24.2,12.0,20.3,0,26.9,0
44.6,49.2,76.8,0,17.6,1
27.0,33.7,22.9,1,34.1,1
27.6,34.9,12.6,0,15.9,0
33.5,64.1,40.1,1,11.6,1
5.0,19.9,70.5,1,22.1,0
38.2,59.8,124.9,1,20.4,1
25.3,76.1,45.1,0,31.1,1
30.4,20.1,46.8,0,17.6,0
11.9,83.6,72.8,0,33.5,0
26.5,42.6,104.5,0,22.9,0
27.0,23.2,29.2,0,15.2,0
46.6,89.2,72.1,0,27.4,1
40.6,62.5,15.5,0,17.2,0
50.1,84.7,80.3,0,20.9,1
44.5,79.5,30.5,1,28.4,1
19.2,82.3,46.6,0,23.5,1
17.7,68.2,48.1,0,27.7,1
17.5,70.2,43.5,0,34.9,0
29.2,72.4,61.3,0,32.2,0
37.5,54.8,40.4,0,16.1,0
68.9,91.1,43.6,0,3.9,1
26.7,79.4,70.5,0,30.8,1
23.6,73.6,9.0,0,11.9,1
26.5,35.7,52.6,0,16.3,0
33.6,54.3,46.8,0,35.0,1
40.1,42.7,42.7,1,31.6,0
35.9,60.3,112.6,1,17.1,1
61.9,82.6,127.1,1,26.2,1
22.8,47.9,103.7,0,27.7,0
52.9,39.5,60.5,1,23.2,1
46.9,30.6,89.2,0,14.0,1
32.0,74.6,60.3,1,31.2,1
41.7,63.0,104.1,0,12.9,1
35.6,85.6,76.2,1,15.8,0
38.4,83.1,52.1,0,35.3,0
26.7,69.9,55.6,0,31.1,0
35.6,59.1,42.6,0,20.7,0
34.5,86.0,22.1,0,34.0,0
19.9,50.9,6.4,0,28.2,0
33.0,61.5,83.3,1,32.9,1
37.1,43.0,108.5,0,17.7,1
40.4,82.7,39.5,1,28.0,1
18.0,38.6,83.1,1,13.0,0
20.6,73.1,125.2,0,17.1,1
44.8,57.6,54.2,0,39.2,1
48.9,72.7,209.0,0,33.7,1
27.0,62.3,66.7,0,16.9,0
13.9,53.6,60.0,1,14.2,0
22.0,74.8,31.1,1,20.0,1
25.6,60.4,33.9,0,20.5,0
45.9,75.7,32.6,0,7.7,0
23.0,64.1,18.3,0,17.8,0
32.7,26.2,34.1,0,34.8,0
23.5,41.1,7.7,1,33.0,0
25.7,62.9,32.4,1,3.6,0
42.1,81.2,36.4,0,17.6,1
41.3,66.2,66.2,0,14.9,1
28.2,78.5,53.8,0,18.1,1
43.1,33.9,4.5,1,13.1,1
36.3,60.4,30.0,0,21.4,0
39.1,46.1,13.4,0,30.6,1
5.0,42.6,62.8,0,23.5,0
22.2,90.3,18.1,0,27.0,0
5.0,56.5,19.3,0,21.2,1
55.8,96.6,47.7,1,27.0,1
35.5,26.5,27.3,0,14.1,0
43.4,75.4,69.4,0,28.3,1
42.7,74.9,102.1,1,15.2,1
5.6,56.6,26.6,0,23.7,0
26.8,78.7,59.2,0,8.7,1
64.2,76.8,139.2,0,12.3,1
20.9,78.9,30.0,0,31.0,0
9.5,67.9,145.5,0,28.7,0
53.0,72.8,63.5,0,26.3,1
47.1,88.8,39.9,0,29.1,1
13.5,41.4,25.3,1,13.4,1
33.2,42.0,115.9,0,24.2,1
40.5,92.7,83.4,0,16.5,1
54.8,37.6,32.2,0,19.9,0
18.2,59.2,31.7,0,25.0,0
39.2,64.7,115.2,0,22.4,1
59.7,38.8,37.7,1,18.4,1
33.2,30.1,49.6,1,25.4,1
30.4,37.5,156.0,1,11.7,1
27.9,75.0,42.8,0,23.3,1
58.3,40.6,83.0,0,12.4,1
47.1,76.2,21.8,1,27.3,1
48.0,56.7,49.0,0,32.8,1
39.4,11.9,110.3,0,27.5,0
26.1,87.8,42.6,0,24.5,1
56.1,74.2,43.5,1,9.5,1
18.3,47.3,5.5,0,8.5,1
50.8,28.4,74.2,1,12.4,1
36.9,70.2,8.5,0,15.2,0
21.3,39.0,6.1,0,7.5,0
38.4,52.8,51.4,0,18.0,1
42.5,3.1,23.9,0,23.2,0
54.3,73.7,125.3,0,21.2,1
24.5,96.2,34.5,0,12.0,0
29.4,40.8,42.5,1,18.4,0
27.4,69.1,112.5,0,27.7,0
49.0,49.5,17.3,0,19.4,1
41.4,52.8,63.3,0,24.8,1
30.9,53.2,13.6,1,21.5,1
30.6,54.5,34.5,1,18.7,1
44.9,23.3,138.7,0,19.2,1
39.3,84.1,15.8,0,27.2,1
29.3,48.3,121.5,0,14.9,1
18.7,63.9,30.0,1,33.1,0
45.3,71.1,27.2,0,22.7,1
36.6,87.8,47.2,1,38.0,1
20.3,38.5,7.6,1,22.8,0
52.5,97.1,75.0,0,25.4,1
11.8,81.9,70.3,0,11.8,0
14.7,17.9,76.8,0,12.4,0
33.5,40.1,35.7,1,15.2,1
37.3,24.0,19.8,0,20.9,0
45.1,69.4,32.5,0,27.9,1
34.7,92.1,132.1,0,13.7,1
32.2,25.2,14.0,0,35.1,0
37.9,33.4,50.8,0,15.5,0
36.0,23.4,24.3,1,20.4,1
43.8,35.8,164.2,0,15.0,0
35.9,20.5,40.4,0,26.8,0
65.3,59.6,45.3,0,23.5,1
34.7,35.3,64.2,0,20.3,1
38.9,31.7,8.6,0,14.2,0
26.2,93.0,24.7,1,29.6,1
5.0,14.2,72.9,1,17.4,0
59.4,32.1,46.7,0,29.1,1
27.7,22.2,34.6,0,21.1,0
21.5,11.6,132.2,0,16.0,1
39.2,86.8,63.4,1,20.1,1
57.6,55.1,38.5,1,14.1,1
59.6,61.4,82.0,0,26.8,1
16.7,76.3,66.7,0,21.3,0
32.4,90.4,25.5,1,26.9,1
41.9,18.8,39.6,0,31.4,0
64.3,46.5,57.3,0,17.6,0
37.4,53.2,19.4,0,11.0,0
34.8,86.4,22.1,0,20.0,0
16.6,88.8,52.6,0,30.1,0
26.6,70.0,39.7,0,22.8,1
17.6,66.0,37.7,1,32.2,0
54.4,72.6,59.1,0,13.4,1
41.6,52.5,43.3,0,23.7,1
5.0,75.7,46.1,1,31.5,0
48.2,36.8,45.2,0,21.0,0
29.6,38.1,64.4,0,27.5,0
56.0,64.7,62.5,1,20.1,1
22.2,80.6,3.5,0,26.2,1
11.0,67.8,61.6,0,24.1,0
51.5,57.7,51.0,0,28.6,1
45.7,56.0,39.4,0,27.5,0
26.4,21.3,34.8,0,28.3,0
30.9,48.1,67.0,0,35.5,0
35.9,57.3,121.3,0,18.0,1
33.4,61.0,89.2,0,27.1,1
12.0,68.5,65.3,1,28.3,1
32.3,20.3,60.5,0,16.4,1
34.3,67.5,43.6,0,18.3,0
31.9,51.8,74.2,0,13.2,0
58.9,60.9,41.5,1,23.9,1
42.8,72.3,61.2,0,25.3,1
51.6,61.1,43.4,1,28.7,1
25.7,35.7,20.5,0,13.9,0
28.1,56.8,54.2,0,-2.8,1
36.1,90.8,41.9,0,16.9,0
7.9,94.7,44.6,0,6.3,1
27.5,52.6,72.5,0,22.6,1
16.7,5.4,151.6,0,9.8,0
32.9,48.7,44.5,0,29.5,1
34.8,27.2,52.4,1,26.4,0
34.9,50.7,87.4,0,23.1,1
33.0,50.0,21.2,0,21.3,0
36.5,80.8,165.1,0,29.8,1
30.5,35.3,175.5,0,18.5,1
39.8,31.5,37.8,0,24.7,1
44.2,48.1,81.7,0,21.9,1
33.3,74.0,116.0,0,22.5,1
20.7,53.8,6.0,0,11.2,0
36.1,91.5,15.4,1,16.4,1
25.5,65.0,65.8,0,24.3,0
52.1,74.2,139.0,0,16.7,1
39.0,30.1,81.2,0,17.6,0
35.4,48.1,188.2,0,30.4,1
21.6,77.8,11.3,0,7.3,0
19.9,52.4,75.0,0,16.3,0
35.0,73.2,29.0,1,18.8,0
53.6,75.6,41.3,0,7.3,1
25.1,74.1,38.2,0,25.3,1
60.9,37.8,52.3,0,17.5,1
29.9,49.4,21.2,0,16.9,0
36.9,59.7,84.8,1,28.7,1
48.4,39.7,55.3,1,29.4,0
35.4,34.6,30.8,0,19.2,0
40.0,82.8,110.0,0,16.2,1
15.9,21.1,72.1,1,23.7,0
26.4,45.5,61.6,0,23.4,0
45.6,30.4,81.5,0,14.1,1
31.0,50.2,24.6,0,11.1,1
56.5,78.2,136.9,0,38.0,1
30.4,76.1,83.8,0,26.6,0
52.3,64.5,18.6,0,15.4,1
15.8,78.4,23.4,0,24.0,0
41.6,59.6,71.7,0,32.4,0
29.4,58.6,157.1,0,22.1,1
29.7,61.6,12.0,0,14.3,1
47.7,82.4,31.3,0,15.9,1
32.0,73.2,74.1,0,22.5,1
25.4,81.5,102.2,0,15.6,1
37.6,55.9,91.2,0,20.9,0
18.6,85.7,55.7,1,28.5,0
45.7,73.2,65.9,0,12.7,1
39.2,86.1,94.7,0,13.1,1
34.3,84.4,64.1,0,34.2,1
32.3,87.7,64.4,0,22.0,0
42.5,44.0,73.3,1,21.2,1
7.1,70.5,52.6,0,16.4,0
32.1,71.4,33.9,1,17.2,1
40.3,91.1,68.3,0,29.1,1
46.6,59.4,87.1,1,17.7,1
23.9,43.4,79.0,1,31.9,0
26.9,31.5,69.1,1,26.8,1
49.2,25.0,114.0,0,29.4,1
36.3,52.2,40.2,0,33.4,1
26.0,82.3,26.2,0,10.1,1
24.3,82.9,42.0,1,25.7,1
46.1,80.5,95.5,0,11.7,1
46.9,62.1,59.4,0,19.2,1
40.6,68.7,12.0,0,20.4,0
13.6,69.0,55.6,1,14.6,0
27.0,34.0,65.5,0,18.5,1
16.0,77.7,15.4,1,16.2,1
34.7,12.6,41.5,0,21.0,0
44.0,72.7,47.3,0,28.1,1
51.9,35.6,19.2,0,21.8,0
19.4,59.8,11.1,1,22.7,0
35.6,69.8,18.2,0,17.0,1
9.3,43.5,82.2,1,27.5,0
42.8,68.3,60.4,0,12.6,1
57.7,25.2,87.9,0,9.2,1
25.5,61.4,38.2,1,16.9,1
39.8,8.4,87.5,0,28.5,0
50.8,18.5,122.5,0,23.9,1
54.6,82.0,42.0,0,21.8,1
33.8,79.4,16.3,0,27.9,0
23.7,90.4,67.2,0,10.5,0
27.7,45.9,80.4,1,24.4,1
21.6,87.2,20.1,1,17.6,0
25.7,74.4,38.1,0,18.1,1
43.4,39.9,68.9,0,40.9,0
33.6,26.0,85.2,0,30.6,1
57.4,43.2,79.7,0,5.6,1
27.7,81.0,13.6,0,23.9,1
17.0,40.7,54.5,1,4.0,0
35.7,56.6,9.1,0,32.3,0
33.3,56.9,64.3,0,21.3,1
15.4,27.7,60.1,0,37.0,0
16.1,92.6,108.7,0,9.5,0
63.3,59.1,69.1,0,7.4,1
59.8,87.9,51.0,0,16.8,1
36.2,85.3,35.9,1,8.3,1
33.1,40.5,106.3,0,16.2,0
20.0,50.4,74.9,0,27.9,1
22.5,37.8,28.4,0,17.5,0
33.8,71.0,79.6,0,15.5,1
33.7,27.9,66.0,0,25.3,0
45.6,62.3,84.4,1,23.9,1
42.6,67.8,72.8,0,15.5,1
38.5,56.6,97.4,1,22.4,1
5.0,60.9,52.6,0,27.2,1
30.1,12.3,10.0,0,31.2,0
14.0,79.0,46.7,0,16.4,0
34.9,53.4,68.4,0,28.6,0
15.5,93.8,25.3,1,14.1,0
34.8,58.8,38.4,0,32.3,1
25.4,37.3,8.2,0,31.3,0
32.2,36.7,61.8,0,15.4,1
52.5,51.7,84.9,0,17.1,0
23.6,80.9,36.4,1,23.1,1
39.0,76.6,44.7,0,35.4,0
56.2,53.3,149.0,0,18.3,1
20.9,83.1,37.0,0,19.9,0
25.6,62.2,29.0,1,40.3,1
56.0,91.0,43.5,0,20.8,1
44.6,84.5,57.4,1,18.9,1
49.0,40.1,73.0,0,20.2,0
27.8,34.8,121.6,1,41.5,1
29.1,28.7,53.2,1,24.8,1
43.8,39.2,75.0,1,22.5,0
33.7,81.0,26.2,0,26.0,0
20.8,58.8,53.8,1,26.9,0
27.7,73.4,7.1,0,22.5,0
24.6,80.6,52.1,0,33.0,1
57.6,61.7,88.2,0,13.4,1
48.5,61.6,23.3,0,33.4,1
39.3,52.6,77.9,0,26.8,0
35.9,2.0,71.5,1,31.2,0
12.8,75.9,95.6,0,24.6,0
72.6,42.2,54.8,0,19.6,1
38.1,92.9,17.9,1,10.8,1
43.8,58.8,84.8,0,18.1,1
14.7,71.8,26.7,0,19.5,0
41.6,13.3,23.5,0,13.8,1
48.2,49.7,71.8,0,5.0,1
33.8,73.2,21.0,0,30.9,0
44.9,64.8,52.7,0,4.7,1
38.9,23.6,84.8,0,12.2,0
28.7,50.8,63.6,0,18.3,1
48.0,45.1,210.8,1,15.5,1
10.9,46.1,45.3,0,34.4,1
47.3,55.2,149.4,0,24.7,1
31.6,80.6,147.5,1,21.1,1
19.6,54.2,41.3,1,32.0,1
27.7,80.6,65.5,0,15.5,1
55.3,86.8,160.8,1,5.2,1
46.2,33.1,90.9,0,18.4,1
42.8,39.1,8.5,0,19.3,1
34.7,75.1,83.7,0,13.3,1
61.7,36.5,54.4,1,22.6,1
7.3,95.6,55.4,0,13.2,0
36.4,62.9,30.7,0,33.0,1
22.3,57.1,105.6,0,24.5,1
66.3,65.1,11.6,0,25.7,1
35.8,68.0,12.7,0,42.0,1
36.5,58.9,62.8,0,37.2,0
44.3,83.7,58.8,1,28.1,1
37.0,59.8,14.7,0,14.8,1
40.3,65.7,14.9,0,24.4,1
50.8,85.0,51.5,0,6.0,1
68.4,18.5,30.1,0,21.8,1
45.5,30.3,8.0,0,14.8,0
26.6,47.3,140.6,0,22.8,1
32.3,80.8,22.6,0,14.8,1
43.2,53.2,8.2,0,24.1,1
30.9,53.7,126.4,1,31.1,1
24.1,61.7,34.8,1,23.4,0
10.8,42.0,39.7,0,16.1,0
11.5,75.2,35.9,1,10.3,1
